@relation 'eisen0.names'

@attribute alpha_0                                 numeric
@attribute alpha_7                                 numeric
@attribute alpha_14                                numeric
@attribute alpha_21                                numeric
@attribute alpha_28                                numeric
@attribute alpha_35                                numeric
@attribute alpha_42                                numeric
@attribute alpha_49                                numeric
@attribute alpha_56                                numeric
@attribute alpha_63                                numeric
@attribute alpha_70                                numeric
@attribute alpha_77                                numeric
@attribute alpha_84                                numeric
@attribute alpha_91                                numeric
@attribute alpha_98                                numeric
@attribute alpha_105                               numeric
@attribute alpha_112                               numeric
@attribute alpha_119                               numeric
@attribute elu_0                                   numeric
@attribute elu_30                                  numeric
@attribute elu_60                                  numeric
@attribute elu_90                                  numeric
@attribute elu_120                                 numeric
@attribute elu_150                                 numeric
@attribute elu_180                                 numeric
@attribute elu_210                                 numeric
@attribute elu_240                                 numeric
@attribute elu_270                                 numeric
@attribute elu_300                                 numeric
@attribute elu_330                                 numeric
@attribute elu_360                                 numeric
@attribute elu_390                                 numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_110                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute spo_0                                   numeric
@attribute spo_2                                   numeric
@attribute spo_5                                   numeric
@attribute spo_7                                   numeric
@attribute spo_9                                   numeric
@attribute spo_11                                  numeric
@attribute spo5_2                                  numeric
@attribute spo5_7                                  numeric
@attribute spo5_11                                 numeric
@attribute spo__early                              numeric
@attribute spo__mid                                numeric
@attribute heat_0                                  numeric
@attribute heat_10                                 numeric
@attribute heat_20                                 numeric
@attribute heat_40                                 numeric
@attribute heat_80                                 numeric
@attribute heat_160                                numeric
@attribute dtt_15                                  numeric
@attribute dtt_30                                  numeric
@attribute dtt_60                                  numeric
@attribute dtt_120                                 numeric
@attribute cold_0                                  numeric
@attribute cold_20                                 numeric
@attribute cold_40                                 numeric
@attribute cold_160                                numeric
@attribute diau_540                                numeric
@attribute diau_660                                numeric
@attribute diau_780                                numeric
@attribute diau_900                                numeric
@attribute diau_1020                               numeric
@attribute diau_1140                               numeric
@attribute diau_1260                               numeric
@attribute class {R.14.04,R.11.02.03.04,R.43.01.03.05,R.42.01,R.20.09.07,R.01.05.25,R.16.01,R.01.06.02.01,R.01.04,R.20.01.15,R.12.01.01,R.01.05,R.34.01.01.01,R.14.07,R.01.07.01,R.42.16,R.11.02.03.01,R.32.01.01,R.11.04.03.01,R.14.10,R.34.11.03.07,R.11.06.02,R.16.03.03,R.16.19.03,R.11.04.01,R.20.09.18,R.20.03,R.14.13.01.01,R.11.04.03.05,R.14.07.05,R.10.01.05.01,R.10.03.01,R.18.02.01,R.42.04.05,R.16.03.01,R.01.06,R.10.03.02,R.10.01.03,R.01.06.05,R.01.05.09.07,R.14.07.02,R.01.01.06.06.01.03,R.20.01.03,R.01.01.09.06.01,R.10.03.01.03,R.14.07.02.02,R.42.04,R.20.01.01.01,R.99,R.20.09.04,R.01.02.07,R.32.07,R.01.03.01,R.16.21.07,R.14.07.11,R.02.01,R.01.01.06.05,R.20.01.13,R.10.01.09.05,R.01.06.06.11,R.20.09.07.03,R.14.01,R.01.05.02.07,R.01.04.04,R.42.19,R.02.13,R.20.09.13,R.14.13.01,R.42.04.03,R.02.13.03,R.12.07,R.32.01,R.01.03.04,R.40.01,R.01.03.01.03,R.12.04.01,R.12.10,R.14.07.04,R.02.16.01,R.20.01.07,R.01.05.06.07,R.12.04.03,R.10.01.05.03,R.12,R.11.04.03.03,R.11.02.03.01.04,R.11.04.02,R.14.07.09,R.20.01.10,R.01.02,R.20.09.01,R.01.01.09.04,R.20.09.16,R.32.01.03,R.10.01.05.03.01,R.01.03.04.03,R.01.20.15,R.01.01.11.03.01,R.01.01.09.04.01,R.10.03.01.01.09,R.12.01,R.12.04.02,R.01.01,R.01.01.03.02.01,R.01.01.09.07.01,R.01.06.02.02,R.43.01.03.09,R.10.01.03.05,R.01.06.06,R.32.05.01.03.03,R.20.01.01.01.01,R.10.03.01.01.11,R.01.07,R.11.02.03.04.03,R.20.01.03.01,R.01.01.11.04.01,R.02.19,R.01.01.03.05.01,R.14.13.04,R.01.02.02.09,R.11.02.03.01.01,R.20.01.21,R.01.06.10,R.01.01.06.02.01,R.10.03.03,R.20.01.17,R.01.03.01.01,R.01.03.16.01,R.01.01.13,R.01.01.06.05.01,R.32.01.09,R.32,R.01.03.10,R.20.09.18.09.01,R.01.01.09.02,R.11.02.03.04.01,R.20.01.03.03,R.16.07,R.01.01.06.05.01.01,R.38,R.01.01.09.03.01,R.20.01.01.07.07,R.01.01.03.03.01}
@data
0.42,0.04,0.45,-0.04,0.31,-0.06,-0.09,0.1,0.21,0.14,0.77,0.03,-0.12,-0.27,0.62,0.41,-0.27,0.21,-0.3,-0.04,0.4,-0.03,-0.29,-0.34,-0.3,-0.01,-0.03,0.03,-0.49,-0.1,0.14,0.01,-0.6,-0.76,-0.92,0.08,-0.54,-0.27,-0.06,-0.12,-0.42,-0.3,-0.27,-0.89,-0.04,0.03,-0.62,-0.27,1.34,1.68,1.46,1.01,0.49,-0.74,-0.97,-2.06,2.29,2.56,-0.06,0.38,-0.1,0.36,-0.07,0.04,-0.43,-0.34,-0.67,-0.27,0.25,0.18,0.21,0.77,-0.03,0.16,-0.06,-0.12,-0.15,-0.34,-0.22,R.16.01
-0.29,0.06,0.18,0.07,0.23,-0.06,-0.14,0.08,-0.12,-0.27,0.23,-0.36,0.31,-0.1,0.36,0.34,-0.38,-0.14,-0.4,-0.38,-0.38,0.67,0.01,0.23,0.06,-0.09,-0.36,-0.1,-0.42,-0.34,-0.43,-0.29,-0.67,-0.03,0.3,-0.04,-0.97,-1.4,-0.81,-0.2,0.2,-0.2,-0.86,-0.97,-0.84,-0.71,-0.43,-0.3,1.53,1.37,0.97,0.94,1.24,-0.32,-0.22,-0.42,2.01,1.86,-0.07,-0.42,0.04,0.15,-0.74,0.18,-0.67,-0.38,-1.25,-0.62,0.1,0.48,0.46,-0.23,-0.0520098,-0.25,0.25,-0.23,-0.42,0.24,-0.04,R.16.01
-0.250735,-0.74,0.0447059,-0.14,-0.34,-0.6,-0.23,-0.01,-0.36,-0.07,-0.27,-0.22,-0.32,-0.56,-0.74,-0.62,-0.15,0.51,-0.38,-0.94,-0.74,-0.32,-0.38,0.01,-0.43,-0.1,-0.17,-0.2,-0.3,-0.23,-0.76,-0.1,-0.45,-0.4,-0.17,-0.49,-0.64,-0.38,-0.6,-0.84,-0.38,-1.03,-0.86,-0.29,-0.34,-0.4,-0.56,-0.45,0.92,0.84,1.08,0.57,0.43,-0.0430303,-0.58,-1.25,1.49,1.92,0.01,-0.2,0.01,0.31,-0.06,0.0971642,-0.42,-0.71,0.14,0.15,-0.07,0.48,-0.03,-0.04,-0.175373,-0.17,0.31,-0.27,-0.47,0.15,-0.22,R.10.01.05.01
-0.34,-0.47,-0.45,-0.4,-0.25,-0.47,-0.27,-0.42,-0.49,-0.32,-0.64,-0.17,-0.43,-0.62,-0.54,-0.49,-0.23,0.21,0.16,-0.51,-1.03,-0.76,-0.6,-0.43,-0.71,-0.23,-0.2,-0.27,-0.22,-0.25,-0.3,-0.17,-0.09,0.03,-0.43,0.01,0.01,0.21,-0.06,0.49,0.56,-0.25,0.07,0.19,-0.06,0.56,0.06,-0.3,1.21,1.04,0.79,0.26,0.24,0.01,-0.62,-1.15,1.15,1.55,-0.27,0.07,-0.06,0.5,0.14,0.43,-0.62,-0.17,-0.76,-0.67,-0.49,0.29,0.58,-0.2,-0.34,0.11,0.4,0.01,0.07,0.84,0.4,R.01.05
1.21,0.03,0.3,0.11,0.24,0.28,0.78,0.28,-0.06,-0.01,-0.06,0.25,-0.09,0.85,-0.47,0.03,0.4,0.15,-0.34,0.25,-0.29,-0.81,-1.43,-1,-0.32,0.15,0.66,0.43,0.26,1.1,1.08,0.56,0.25,0.5,0.36,0.24,0.39,0.52,0.32,0.28,0.59,0.15,0.42,0.34,0.39,0.34,0.45,-0.23,2.39,2.31,1.93,1.06,1.32,0.3,-0.71,-1.79,2.17,1.7,-0.12,0.58,0.31,0.25,-0.06,0.97,-0.64,-0.32,-0.64,-0.45,-0.15,0.72,0.04,0.4,-0.54,-0.3,0.3,-0.36,-0.64,1.59,2.12,R.20.09.04
-0.22,0.66,0.1,0.11,0.12,0.04,0.11,-0.23,-0.14,-0.51,-0.36,-0.47,0.01,-0.81,-0.07,-0.34,-0.42,0.11,-1.43,0.48,-0.43,-0.15,-1.29,-1.32,-0.32,0.74,1.17,0.83,-0.27,0.92,1.24,0.74,-0.54,-0.29,-0.38,-0.49,-0.92,-0.67,-0.6,-0.71,-1.22,-0.0802597,-0.92,0.56,-0.76,-0.6,-0.84,0.51,1.9,1.7,1.35,-0.03,-0.23,0.55,-0.2,-1.6,2.74,2,0.42,0.49,0.15,0.44,-0.38,0.55,-0.94,-0.4,-0.4,-0.79,0.11,0.76,0.6,0.33,-0.67,-0.18,0.215316,-0.18,-0.3,1.47,3.7,R.42.01
0.2,0.14,0.2,0.3,0.08,-0.115672,0.12,-0.04,-0.15,-0.07,-0.27,-0.09,-0.09,-0.07,-0.09,0.11,0.08,0.08,0.29,0.1,0.04,-0.06,-0.09,0.28,-0.06,0.4,0.4,0.38,0.04,0.2,0.23,0.3,-0.56,-0.58,-0.49,-0.3,0.01,-0.18,-0.62,-0.4,-0.12,-0.1,-0.27,-0.06,-0.51,-0.43,-0.56,-0.23,0.75,0.82,0.43,0.75,0.36,-0.09,-0.67,-0.89,0.99,1.12,0.03,0.26,0.0966169,-0.06,-0.09,-0.03,-0.51,-0.64,-0.116618,-0.25,0.18,-0.1,0.52,0.99,0.11,-0.04,0.18,-0.17,-0.32,-0.07,-0.1,R.16.01
0.16,0.1,0.86,1.01,0.99,1.23,1.86,1.41,1.51,0.88,1.04,1.06,1.04,0.44,0.72,0.75,0.95,0.88,0.83,0.9,0.77,0.8,0.48,0.32,0.36,0.14,-0.2,-0.79,-0.17,-0.18,-0.22,-0.03,-0.56,-0.45,-0.22,0.24,0.84,0.82,0.23,0.28,0.19,0.1,0.03,-0.42,-0.69,-0.6,-0.58,-0.25,2.32,2.73,2.15,1.42,1.05,-0.54,-0.34,-1.84,3.4,3.74,0.51,0.98,1.84,0.21,-1.29,1.78,-0.67,-0.62,0.15,-0.09,0.77,0.44,1.53,0.42,0.15,-0.07,-0.43,-0.94,-0.79,0.33,0.42,R.01.02.07
-0.34,0.01,-0.22,-1.36,-1.25,-0.18,-0.29,-0.09,-0.6,-0.38,-1.03,-0.36,-0.22,-0.36,-0.69,-0.29,-0.45,-0.67,-0.04,0.18,0.24,-0.51,-0.06,-0.09,-0.64,-0.18,0.18,-0.3,-0.06,-0.43,-0.67,0.07,-1,-0.15,0.4,0.18,-0.1,-0.4,-0.62,-0.15,0.14,0.04,-0.3,-0.34,-0.14,-0.12,-0.09,-0.09,0.63,1.14,0.9,0.24,0.25,-0.36,-0.17,-0.79,1.26,2.15,-0.07,-0.27,0.31,0.15,-0.01,0.74,-0.09,0.12,-0.79,-0.04,-0.54,1.05,0.1,-0.03,-0.2,-0.36,0.21,-0.22,-0.27,0.3,-0.38,R.42.01
-0.3,-0.15,-0.17,-0.15,-0.43,-0.43,-0.49,-0.18,0.07,0.12,0.01,-0.27,-0.09,-0.18,-0.43,-0.14,-0.25,-0.0839806,0.48,-0.51,-0.29,-0.36,-0.3,-0.56,-0.09,-0.07,-0.01,-0.04,-0.12,-0.36,-0.38,-0.01,0.28,0.23,0.06,0.21,0.04,0.1,0.08,0.19,-0.27,0.14,-0.14,0.18,-0.25,-0.49,-0.47,-0.18,0.64,0.42,0.75,0.42,0.57,0.14,-0.06,-0.51,0.99,1.4,0.42,-0.1,-0.14,-0.62,-0.3,-0.23,-0.47,-0.67,-0.67,-0.23,-0.36,0.34,0.11,0.36,-0.6,-0.43,0.03,-0.67,-0.56,0.74,0.18,R.16.01
-0.04,0.15,0.07,0.16,0.18,0.53,0.01,0.48,0.42,-0.18,-0.01,0.24,0.12,0.07,0.04,0.5,0.07,0.25,0.38,-0.06,0.23,0.24,0.1,0.07,0.31,-0.01,-0.42,-0.06,0.04,-0.04,-0.6,-0.01,-0.51,-0.51,0.00895307,-0.04,-0.25,-0.32,-0.43,-0.29,-0.06,0.04,-0.29,0.03,-0.14,-0.25,-0.150036,0.01,0.37,0.32,0.29,0.16,0.1,-0.03,-0.2,-0.74,0.63,1.23,-0.12,-0.45,-0.15,-0.25,-0.09,0.37,-0.06,-0.71,0.12,-0.47,-0.03,0.14,-0.81,0.03,0.06,0.04,0.24,-0.03,-0.51,-0.07,-0.4,R.11.02.03.04
-0.38,-0.1,-0.34,-0.14,-0.22,-0.14,-0.23,-0.15,-0.14,-0.06,-0.36,0.04,-0.22,-0.54,-0.47,-0.2,-0.15,-0.01,-0.6,-0.17,-0.2,-0.09,-0.1,0.04,-0.22,-0.04,-0.09,-0.03,0.29,-0.14,-0.09,-0.01,0.28,0.19,-0.58,-0.54,-0.62,-0.07,-0.1,1.24,0.81,-0.92,-0.94,-0.18,-1.09,-0.12,-0.6,-0.4,0.34,0.46,0.58,-0.25,0.01,-0.49,-0.4,-1.29,0.88,0.7,-0.18,-0.01,-0.22,0.23,0.06,0.12,-0.32,-0.38,-0.01,-0.03,-0.64,-0.38,-0.62,-0.97,-0.1,-0.12,0.08,-0.15,-0.29,-0.3,-0.49,R.14.04
-0.34,-0.67,-0.09,0.14,0.29,-0.15,-0.03,-0.34,-0.42,-0.15,-0.18,0.21,-0.07,0.01,0.06,-0.06,-0.01,-0.29,-0.58,-0.18,-0.4,-0.4,-0.36,-0.03,-0.06,0.28,0.03,0.18,-0.17,-0.12,-0.23,-0.189545,-0.58,-0.2,0.14,-0.69,-0.38,2.3,-0.06,1.29,0.64,-0.76,-0.1,0.03,-1.36,0.16,-1,-0.43,0.62,0.67,0.33,-0.06,0.31,-0.45,-0.94,-1.03,1.2,0.8,-0.18,0.11,-0.36,-0.22,0.2,-0.04,-0.62,-0.76,-0.15,-0.47,-0.3,-0.25,-0.43,-0.2,-0.07,-0.06,0.01,-0.06,-0.36,-0.49,-0.184697,R.10.01.05.01
-0.06,-0.156968,0.32,-0.12,0.08,0.04,-0.2,0.06,0.53,0.07,0.67,0.31,-0.09,-0.15,-0.12,0.4,-0.18,0.06,0.42,0.24,-0.56,0.12,-0.4,-0.27,-0.04,0.37,-0.01,0.03,-0.18,0.3,0.29,0.3,-0.231529,0.67,0.08,-0.76,-0.62,-0.58,-0.12,0.9,-0.14,-1.22,-0.29,0.18,-0.69,-0.14,-0.45,0.18,1,1.33,1.04,0.45,0.36,0.21,-0.25,-0.81,1.32,2.15,-0.29,-0.04,0.21,0.19,-0.42,-0.29,0.54,0.71,0.59,0.38,-0.3,-0.25,0.77,0.16,0.46,0.23,0.31,-0.06,-0.36,1.03,0.18,R.01.04
-0.25,-0.01,-0.15,0.08,-0.74,-0.04,-0.34,-0.06,0.03,0.29,0.04,-0.15,-0.1,-0.58,-0.43,-0.12,-0.29,-0.3,1.25,0.52,0.03,-0.04,-0.34,0.14,0.26,0.24,0.1,0.07,0.42,0.25,0.31,0.26,-0.34,-0.03,-0.22,-0.09,-0.25,-0.34,-0.04,-0.25,-0.0702941,0.03,-0.29,0.85,0.58,0.21,0.52,0.01,0.41,0.62,0.59,0.14,-0.12,-0.07,-0.06,-0.64,0.79,1.74,0.04,0.03,0.08,-0.56,-0.29,-0.51,0.24,0.49,0.34,0.44,-0.09,0.01,-0.29,0.59,-0.15,-0.2,0.36,-0.2,-0.38,0.78,-0.04,R.14.13.01.01
0.34,0.1,0.16,0.24,-0.18,-0.04,-0.23,0.07,0.21,-0.32,0.4,0.14,-0.1,-0.36,-0.18,-0.01,-0.45,-0.14,0.76,0.12,-0.04,-0.23,-0.43,-0.4,-0.27,0.06,-0.04,-0.12,-0.03,0.29,0.1,-0.07,-0.43,-0.32,-0.4,-0.25,-0.4,-0.2,0.06,0.15,0.03,-0.07,0.23,0.46,0.1,0.41,0.64,-0.14,0.41,0.63,0.56,0.1,-0.14,-0.2,-0.34,-1.25,1.18,1.79,-0.01,-0.14,-0.06,-0.12,-0.62,-0.43,0.33,0.44,0.51,0.19,-0.14,0.01,-0.07,-0.15,0.24,0.15,-0.1,-0.47,-0.49,0.73,-0.06,R.14.13.01.01
-0.07,-0.23,0.33,0.29,-0.23,0.44,0.14,0.16,0.21,0.07,0.2,-0.07,-0.2,-0.49,-0.14,-0.18,0.3,0.01,0.7,0.45,-0.15,-0.18,-0.43,-0.64,-0.36,-0.3,-0.17,-0.3,-0.1,-0.03,-0.15,-0.36,-0.51,-0.43,-0.36,-0.51,-0.36,-0.42,-0.12,-0.22,-0.32,-0.25,-0.49,-0.0569697,0.58,0.26,0.53,-0.15,0.7,1.13,0.89,-0.01,-0.32,-0.38,-0.32,-1.56,1.26,2.32,-0.27,-0.01,0.59,-0.49,-0.25,-0.71,0.2,0.21,0.24,0.24,0.03,-0.1,0.21,0.53,0.24,0.29,0.58,0.12,0.21,0.67,-0.01,R.14.13.01.01
0.06,0.04,0.21,-0.01,-0.187273,-0.157941,-0.32,0.23,0.37,-0.01,0.0123529,0.07,-0.17,-0.25,0.01,0.06,-0.23,-0.25,1.28,0.21,-0.34,0.04,-0.1,-0.27,-0.17,-0.06,-0.34,-0.36,0.03,-0.18,-0.27,-0.15,-0.42,-0.4,-0.45,0.62,-0.18,-0.2,0.04,-0.15,-0.15,0.07,-0.01,0.23,0.59,0.29,0.4,0.24,0.9,1.18,0.66,-0.06,-0.4,-0.4,-0.58,-1.51,1.72,2.79,-0.3,-0.12,0.42,-0.4,-0.47,-0.49,0.44,0.25,0.55,0.34,0.18,0.34,0.03,0.71,0.39,0.12,0.04,-0.07,-0.2,0.9,0.31,R.14.13.01.01
-0.01,-0.04,-0.1,0.24,-0.38,0.14,-0.07,-0.03,0.18,0.2,0.23,-0.07,-0.06,-0.32,-0.17,-0.09,-0.23,-0.06,0.75,0.43,0.19,-0.32,-0.36,-0.25,-0.34,0.08,-0.07,0.12,0.12,0.26,0.1,0.23,0.08,0.11,-0.14,-0.25,-0.34,-0.17,0.06,0.19,0.1,0.26,0.28,0.87,0.58,0.41,0.64,0.11,1,1.1,0.98,0.1,-0.18,-0.27,-0.43,-1.69,1.11,2.02,-0.38,-0.6,-0.3,-0.86,-0.79,-0.71,0.34,0.57,0.41,0.1,-0.79,-0.32,-0.86,-0.45,0.07,-0.06,0.46,0.2,-0.01,0.57,-0.15,R.14.13.01.01
0.21,0.19,0.26,0.2,0.01,-0.15,0.38,0.24,0.29,-0.14,0.26,-0.12,-0.01,-0.14,0.11,-0.27,0.33,-0.36,1.07,0.36,-0.18,-0.43,-0.22,-0.32,-0.09,-0.1,-0.18,-0.51,0.03,-0.12,-0.22,-0.29,-0.22,-0.23,-0.15,-0.27,-0.18,-0.27,0.12,0.12,0.04,0.16,-0.09,0.3,0.96,0.67,0.96,-0.32,0.58,0.73,0.58,-0.04,-0.58,-0.64,-0.27,-1.32,1.3,2.08,-0.25,-0.34,-0.29,-1,-0.71,-1.09,0.31,1.16,0.51,0.06,-0.47,-0.25,-0.71,-0.4,0.11,-0.29,0.29,-0.27,-0.15,0.49,-0.15,R.14.13.01.01
0.06,0.01,-0.04,-0.22,-0.12,-0.4,-0.01,-0.42,-0.25,-0.18,-0.14,-0.3,-0.1,-0.67,-0.3,-0.56,-0.15,-0.4,0.68,-0.12,-0.42,-0.92,-0.56,-0.54,-0.62,0.03,0.01,-0.12,0.03,0.41,0.25,0.28,-0.64,-0.76,-0.62,-0.38,-0.43,-0.56,-0.07,0.11,-0.03,-0.01,0.15,-0.79,0.53,0.48,0.62,-0.23,0.73,0.91,0.89,-0.2,-0.58,0.1,-0.36,-1.36,0.7,1.61,-0.2,-0.09,0.14,-0.47,-0.3,-0.58,0.39,0.33,0.32,-0.06,-0.32,-0.03,-0.58,-0.51,0.06,0.01,0.06,-0.32,-0.22,0.33,-0.86,R.14.13.01.01
-0.12,-0.32,0.01,-0.15,-0.01,-0.38,0.21,-0.23,0.0538235,-0.25,-0.03,-0.32,-0.12,-0.67,-0.1,-0.3,0.01,-0.29,0.43,0.3,-0.17,0.12,-0.03,-0.09,0.07,0.18,0.21,0.12,-0.12,0.39,0.37,0.14,-0.69,-0.56,-0.36,-0.29,-0.07,-0.01,0.1,-0.01,-0.14,-0.04,0.24,-0.43,0.6,0.19,0.58,-0.36,1.08,1.21,0.89,-0.1,-0.51,0.03,-0.62,-1.94,1.46,2.44,-0.07,0.14,0.53,0.1,-0.07,0.23,0.26,0.113529,0.23,0.14,0.1,-0.2,0.11,-0.76,0.15,0.19,0.14,-0.15,-0.09,0.45,-0.43,R.14.13.01.01
-0.3,-0.67,-0.23,-0.32,-0.4,-0.15,0.01,-0.22,-0.27,-0.62,-0.27,-0.49,-0.58,-1.06,-0.3,-0.64,-0.34,-0.42,0.64,0.54,-0.38,-0.47,-0.4,-0.49,-0.71,-0.09,-0.15,-0.36,-0.01,-0.09,-0.06,-0.4,-0.54,-0.49,-0.54,-0.43,-0.34,-0.45,-2.18,-0.23,-0.27,-0.27,0.15,0.23,0.46,0.25,0.48,-0.34,0.92,1.19,0.79,-0.34,-0.74,-0.34,-0.54,-2.4,0.97,1.96,-0.42,-0.06,0.16,-0.43,-0.17,-0.18,0.45,0.03,0.12,0.03,-0.12,0.1,-0.03,0.31,0.15,0.16,0.4,-0.12,-0.06,0.57,-0.27,R.14.13.01.01
0.03,-0.29,-0.07,-0.22,-0.18,-0.49,-0.01,-0.43,-0.07,-0.22,-0.06,-0.15,-0.14,-0.58,-0.45,-0.32,-0.36,-0.36,0.59,0.06,-0.29,-0.71,-0.51,-0.56,-0.54,0.21,0.18,0.23,0.06,0.21,0.65,0.37,-0.49,-0.4,-0.45,-0.47,-0.27,-0.38,0.01,-0.15,-0.14,0.15,0.19,-0.32,0.74,0.56,0.69,-0.06,0.41,0.53,0.23,-0.71,-0.79,-0.27,-0.64,-1.79,0.89,1.52,-0.15,-0.03,0.21,-0.09,-0.32,-0.29,0.34,0.3,0.37,0.29,-0.07,0.16,1.29,0.92,-0.15,0.51,0.08,-0.03,-0.38,0.33,-0.257914,R.01.04
0.07,-0.29,0.4,0.07,0.28,-0.43,0.08,0.16,0.2,-0.03,0.31,-0.06,-0.09,-0.62,0.12,-0.23,0.06,0.03,0.18,-0.1,-0.58,-0.6,-0.42,-0.86,-0.58,-0.15,-0.2,-0.23,-0.71,-0.09,-0.1,-0.36,-0.29,-0.25,-0.22,-0.32,-0.23,-0.27,0.11,0.04,0.0494969,-0.06,0.11,0.39,0.56,0.26,0.38,-0.17,0.85,0.71,0.55,-0.25,-0.49,0.04,-0.54,-1.25,0.94,1.33,-0.14,-0.03,0.04,-0.42,-0.38,-0.2,0.46,0.25,0.37,0.44,0.07,-0.1,0.6,0.61,0.07,0.32,0.38,-0.15,-0.04,0.82,-0.18,R.01.04
0.44,0.55,0.57,0.56,0.19,0.25,-0.14,0.36,0.29,-0.14,0.34,0.14,0.08,-0.25,-0.18,0.11,-0.03,0.1,0.91,0.53,0.07,-0.2,-0.29,-0.29,-0.12,0.1,-0.07,-0.2,0.12,0.12,0.15,0.25,-0.45,-0.43,-0.45,-0.15,-0.09,0.07,0.32,0.24,0.06,0.39,0.53,0.44,0.84,0.57,0.85,-0.09,0.66,0.0911667,0.33,-0.09,-0.3,-0.06,-0.56,-1.25,1.28,1.8,0.25,0.36,0.57,0.33,0.01,0.19,0.23,0.3,0.7,0.49,-0.1,-0.01,0.07,0.58,0.43,0.34,0.11,-0.18,-0.27,0.94,0.11,R.10.03.01
0.19,-0.18,-0.0829412,0.04,-0.06,-0.32,0.12,-0.07,0.12,-0.17,0.01,-0.12,-0.09,-0.58,-0.2,-0.09,-0.12,-0.18,1.21,0.19,-0.25,-0.2,-0.6,-0.54,-0.32,-0.42,-0.25,-0.22,-0.06,0.14,-0.06,-0.27,-0.51,0.23,-0.56,-0.09,-0.74,-0.23,-0.38,0.55,-1.29,-1.51,-0.34,0.26,-1.22,-0.15,-0.67,0.15,0.72,1.31,0.71,0.12,-0.1,-0.42,-0.23,-1.29,1.05,1.92,-0.69,-0.29,-0.15,-1.09,-0.79,-1.18,0.23,0.64,0.37,0.32,-0.64,-0.32,-0.54,0.24,0.28,0.31,0.49,0.23,-0.34,0.9,0.48,R.14.13.01.01
-0.01,-0.17,-0.01,-0.03,-0.121818,-0.09,-0.12,0.14,-0.23,0.12,-0.29,0.31,-0.18,-0.36,-0.36,0.52,-0.0924444,0.26,1.06,-0.23,-0.15,-0.17,-0.07,-0.42,-0.42,-0.56,-0.51,-0.81,-0.32,-0.54,-0.43,-0.51,0.0259574,0.14,-0.09,-0.27,-0.97,0.11,-0.23,0.59,-0.34,-0.71,-0.4,0.75,-1.56,-0.2,-1,0.01,0.94,0.99,0.7,0.55,0.26,-0.17,-0.27,-1.06,0.59,1.32,-0.12,-0.64,-0.14,-0.4,-0.64,-0.15,0.06,0.42,-0.01,-0.42,-0.22,0.5,-0.38,0.07,-0.04,-0.09,0.68,0.07,-0.38,0.6,0.66,R.16.03.03
-0.06,0.08,-0.15,0.06,-0.0146341,0.11,-0.15,0.11,0.08,-0.17,-0.04,-0.15,-0.07,-0.22,-0.01,0.04,-0.01,-0.06,-0.1,-0.22,-0.1,0.11,0.12,0.1,0.11,-0.06,-0.29,-0.15,-0.01,-0.18,-0.43,-0.09,-0.56,0.31,-0.45,-0.54,-0.58,-0.25,-0.03,1.28,-0.2,-1.4,-0.76,0.53,-1.4,-0.29,-0.92,-0.14,0.75,1.08,0.7,0.11,-0.4,-0.4,-0.29,-1.51,0.83,1.39,-0.15,-0.47,-0.29,-1.03,-0.69,-0.22,0.11,0.29,-0.306506,-0.278537,-0.25,0.57,-0.01,0.24,-0.0629268,-0.3,0.39,0.03,-0.27,0.26,-0.3,R.42.01
0.07,-0.09,0.34,0.19,0.2,-0.03,0.11,-0.01,0.01,-0.06,-0.03,0.21,0.23,-0.01,-0.17,0.04,-0.2,-0.2,-0.47,0.89,-0.27,0.1,-0.15,-0.04,-0.04,-0.29,-0.36,-0.54,-0.3,-0.43,-0.18,-0.27,-0.1,0.16,-0.32,-0.43,-0.76,-0.32,-0.18,0.44,-0.51,-1.29,-0.43,0.6,-0.86,0.25,-0.69,-0.15,0.97,0.83,0.77,0.21,-0.36,0.31,-0.2,-0.69,1.5,1.09,0.04,-0.34,-0.22,-0.32,-0.42,-0.23,-0.22,0.51,-0.51,-0.47,-0.27,0.57,-0.2,-0.17,-0.2,-0.110909,0.15,-0.27,-0.03,0.32,0.25,R.10.01.05.01
-0.47,-0.3,-0.94,-0.6,-0.54,-0.15,-0.23,-0.18,-0.36,-0.45,-0.45,-0.29,-0.36,-0.62,-0.86,-0.22,-0.25,-0.23,0.48,0.29,-0.29,-0.38,-0.45,-0.32,-0.36,-0.18,-0.36,-0.25,0.1,-0.23,-0.14,-0.32,-0.1,0.07,-0.32,-0.22,-0.67,-0.15,-0.49,0.3,-0.22,-0.71,-0.18,0.19,-0.69,0.03,-0.86,-0.22,1.14,1.44,1.09,0.63,0.7,-0.29,-0.49,-1.25,1.68,1.87,-0.32,-0.14,-0.27,-0.94,-0.58,-0.71,-0.3,-0.49,-0.1,-0.18,-0.32,0.43,-0.1,1.12,-0.23,-0.29,0.43,-0.18,-0.62,0.72,-0.25,R.43.01.03.05
