@relation 'cellcycle0.names'

@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha7                                  numeric
@attribute alpha14                                 numeric
@attribute alpha21                                 numeric
@attribute alpha28                                 numeric
@attribute alpha35                                 numeric
@attribute alpha42                                 numeric
@attribute alpha49                                 numeric
@attribute alpha56                                 numeric
@attribute alpha63                                 numeric
@attribute alpha70                                 numeric
@attribute alpha77                                 numeric
@attribute alpha84                                 numeric
@attribute alpha91                                 numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_110                               numeric
@attribute cdc15_120                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_140                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_20                                numeric
@attribute cdc28_30                                numeric
@attribute cdc28_40                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu180                                  numeric
@attribute elu210                                  numeric
@attribute elu240                                  numeric
@attribute elu270                                  numeric
@attribute elu300                                  numeric
@attribute elu330                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
0.26,-0.79,-0.45,0.15,-0.07,0,-0.49,0.29,-0.31,0.27,-0.05,0.04,-0.15,0.11,-0.37,0.39,-0.05,-0.07,-0.31,0.48,-0.05,0.34,-0.52,-0.36,-0.81,0.19,0.12,0.3,0.55,0.21,0.68,0.49,0.21,0.36,0.15,0.25,0.1,-0.22,0.4,0.07,0.3,-1.02,0.15,-0.72,-0.47,-0.41,-0.03,-0.03,-0.49,-0.26,0.08,0.17,0.04,0.01,0.04,0.43,-0.03,0.11,0.32,0.26,-0.83,-0.22,0.43,-0.36,-0.83,-0.51,-0.06,0.08,0.31,0.06,-0.12,0.51,0.49,0.17,0.28,-0.05,0.05,R.16.03.03
0.21,-0.74,-0.34,0.12,0.11,0.19,0,0.27,0.01,0.23,0.14,0.2,0.05,0.19,-0.32,0.16,0.01,-0.37,-0.63,-0.16,-0.13,0.05,-1.01,-0.16,-0.09,-0.07,0.54,-0.02,0.82,0.03,0.13,0.19,0.07,-0.14,0.12,-0.12,0.0994444,-0.37,0.23,-0.48,0.74,0.06,0.99,-0.54,-0.45,-0.45,0.17,0.23,-0.06,-0.14,-0.24,-0.35,-0.45,0.15,0.39,0.2,0.03,0.03,-0.1,-0.1,-0.06,0.15,0.1,0.64,-0.14,-0.27,-0.14,0.02,-0.01,0.2,-0.21,-0.03,-0.21,0.41,0,-0.35,0.08,R.99
0.58,0.97,-1.06,-0.2,-0.71,-0.0149804,-0.34,0.49,0.36,0.03,-0.06,-0.03,-0.01,-0.08,0.08,0.08,0.27,-0.24,-0.05,0.65,-0.36,-0.08,-0.86,0.16,0.36,0.4,0.22,0.13,-0.25,-0.47,0.03,-0.13,-0.15,-0.15,0.25,0.23,-0.1,0.04,0.22,-0.5,0.19,0.44,1.05,-0.25,-0.34,-0.5,-0.95,-0.38,0.67,0.45,0.66,0.39,0.23,-0.46,-0.5,-0.15,0.28,0.17,0.36,-0.0329412,0.05,-0.28,-0.54,0.159301,-0.5,0.17,0.11,-0.15,0.27,0.27,0.17,-0.01,0.16,-0.41,0.05,0.00225926,-0.15,R.16.01
-0.14,0.59,0.14,-0.04,0.11,0.58,0.85,0.5,0.24,-0.1,-0.17,-0.11,-0.06,-0.38,0.5,-0.14,-0.31,-0.52,0.2,0.24,-0.73,-0.7,-0.58,-1.33,-1.09,-0.51,-1.4,-0.66,-1.47,-0.84,-1.15,-0.06,-0.79,-0.43,-0.47,0.14,-0.3,0.62,0.32,0.84,0.79,1.72,0.81,2.23,1.74,1.87,1.99,0.77,-0.42,-0.6,-0.45,-0.92,-0.71,-0.81,-0.07,0,-0.31,0.3,0.12,0.0572674,-0.18,0.43,0.84,2.29,0.58,0.3,0.16,-1.25,-1.17,-0.98,-0.57,0.18,-0.42,-0.65,0.48,0.68,0.36,R.01.04
-0.27,-0.3,-0.18,0.3,0.14,0.04,-0.12,-0.2,0.24,0.13,0.34,-0.01,0.04,0.13,-0.18,-0.33,0.09,-0.16,-0.12,-0.16,0.16,0.01,0.47,0.38,0.65,0.72,0.07,0.54,-0.34,0.27,-0.17,0.11,-0.41,0.11,-0.29,0.33,-0.93,0.24,-0.23,0.42,-0.66,-1.19,-0.96,0.21,0.17,0.47,-0.82,-0.43,-0.32,0.12,0.46,0.05,-0.1,0.03,-0.04,0.29,0.05,0.06,0.06,0.2,0.186818,0.27,0.12,-0.13,-0.26,-0.32,0.27,-0.15,-0.03,-0.08,0.04,0.22,0.22,-0.08,0.09,0.04,0.18,R.34.01.01.01
0.34,0.82,-0.23,0.18,-0.22,-0.15,-0.14,-0.28,0.15,-0.04,0.43,0.11,0.02,-0.06,0.04,-0.52,0.02,-0.1,0.57,0.12,0.07,-0.01,-0.26,-0.24,-0.43,0.02,0.67,0.04,0.69,0.42,0.37,-0.01,-0.22,0.12,0.26,-0.1,0.22,-0.13,0.105556,-0.22,0.31,-0.37,0.43,-0.57,-0.45,-0.52,-0.14,-0.18,0.02,0.08,-0.01,0.37,0.09,0.19,0.07,-0.74,-0.52,-0.04,0.34,0.29,0.008,0.21,-0.03,0.29,-0.36,-0.79,-0.11,-0.54,-0.2,0.29,0.04,0.48,0.48,-0.07,0.26,-0.01,0.25,R.01.06.02.01
-0.56,-0.218,-0.163514,-0.06,0.23,0.32,-0.13,-0.09,-0.19,-0.41,0.03,-0.12,0.1,0.16,0,-0.31,-0.01,-0.18,0.16,0.45,-0.1,0.09,-0.2,-0.49,-0.25,-0.17,0.01,-0.4,-0.32,-0.46,-0.33,-0.1,-0.33,0.09,-0.2,0,-0.06,0.14,-0.07,0.19,-0.13,0.45,-0.01,0.62,0.84,1.18,0.82,0.15,-0.85,-0.51,0.11,-0.67,-0.49,-0.92,-0.2,0.59,0.04,0.33,0.12,-0.0329412,-0.12,0.7,0.89,0.85,-0.01,-0.87,0.32,-0.02,-0.3,-0.2,0.08,0.02,-0.06,-0.08,-0.01,0.15,0.13,R.16.01
-0.04,-0.07,-0.62,0.06,0.19,0.48,-0.27,0,-0.12,0.1,0.2,0.06,0.12,-0.21,-0.29,-0.09,0.03,-0.19,-0.04,0.04,-0.16,0.15,-0.14,0,-0.11,0.11,0.2,0.05,-0.05,-0.06,-0.25,-0.23,-0.47,-0.09,0.05,0.26,0.49,0.09,0.15,0.02,0.27,0.54,0.23,-0.31,-0.41,-0.33,-0.54,-0.1,-0.16,-0.08,0.31,0,-0.13,0.41,0.09,0.09,-0.22,-0.2,0.34,-0.034,0.08,0.18,-0.07,0.27,-0.09,-0.34,0.08,0.08,0.05,-0.29,0.21,0,0,-0.05,0.07,0.05,-0.03,R.32.01
0.62,-0.89,-0.18,-0.23,0.14,-0.48,0.1,-0.21,-0.07,-0.01,0.03,0.03,-0.01,-0.07,0.05,0.09,0,-0.02,0.24,-0.04,0.19,0.05,0.37,0.17,0.11,0.17,0.35,-1.89,0.24,0.27,0.61,0.08,0.18,-0.18,0.34,0.02,0.02,-0.04,0.65,-1.25,0.63,0.2,0.24,-0.27,-0.56,-0.47,-0.05,-0.2,0.18,-0.28,-0.28,-0.58,-0.32,0.28,0.12,0.57,-0.15,0.1,-0.01,0.0572674,0.07,0.28,0.28,0.27,0.12,0.13,0.03,0.25,0.08,0.07,-0.04,-0.04,-0.04,-0.42,0.08,-0.29,-0.21,R.01.04
0.04,-0.69,-0.06,-0.4,0.17,-0.01,0.29,0.3,0.35,0.07,-0.18,0.07,0.13,-0.26,0.34,-0.5,-0.03,-0.24,0.22,0.03,-0.21,-0.54,-0.23,-0.14,-0.2,0.21,0.17,0.03,-0.67,0.13,-0.1,0.1,-0.06,0.4,0,0.19,-0.21,0.12,-0.17,0.25,-0.27,-0.4,0.52,0.17,-0.21,0.38,-0.44,-0.4,-0.1,-0.11,-0.02,-0.39,-0.22,-0.52,-0.18,1.05,0.0558608,0.13,-0.09,0.22,0.2,0.57,0.3,0.61,-0.07,-0.09,0.3,-0.02,-0.35,-0.31,0.01,-0.18,-0.16,0.12,0.16,-0.04,0.04,R.16.01
-0.07,-0.03,-0.43,-0.01,0.08,-0.86,-0.47,-0.2,0.22,0.09,0.47,0.28,0.27,-0.12,-0.13,-0.24,0.1,-0.13,0.24,0.02,0.31,0.05,-1.05,-0.39,-0.27,-0.06,0.36,-0.39,0.31,0.46,-0.19,0.21,-0.03,-0.06,-0.18,0.28,0.41,0.33,0.0359375,0.14,0.76,0.26,0.54,-0.36,-0.67,-0.4,-0.11,-0.77,-0.15,-0.39,-0.09,0.13,0.23,0.17,-0.08,0.05,0.1,-0.07,-0.02,0.44,0.186818,0.33,0.22,0.42,0.23,-0.48,-0.48,0.23,0.02,0.19,0.04,0.0175,0.12,0.33,-0.1,-0.45,-0.08,R.34.01.01.01
0.01,-0.92,-0.69,0.14,-0.11,0.07,0.02,-0.03,0.33,-0.01,0.07,-0.08,0.1,-0.03,-0.18,-0.18,0.21,0.01,0.28,-0.33,0.17,-0.31,-0.89,0.11,-0.22,-0.26,0.3,-0.18,0.13,-0.01,-0.35,0.07,-0.08,0.23,-0.04,-0.01,0.31,0.02,-0.19,0.16,0.68,0.14,0.45,-0.16,-0.16,-0.26,0.29,-0.17,-0.22,-0.13,-0.2,0.18,-0.06,-0.26,0.26,0.81,0.1,-0.11,-0.04,-0.34,-0.64,0.43,0.09,0.36,-0.02,0.06,0.01,0.48,0.23,0.23,-0.06,0.08,-0.22,0.16,-0.28,-0.63,-0.4,R.20.03.01.01
0.24,-0.54,-0.06,-0.15,0.1,-0.45,0.01,-0.12,0.33,0.15,0.21,-0.01,0.05,-0.18,0.18,-0.2,-0.05,-0.1,0.27,-0.12,0.17,-0.24,-0.34,0.03,-0.13,0,-0.11,0.1,-0.54,0.46,0.29,0.27,-0.08,0.22,-0.02,0.21,0.22,0.11,-0.19,-0.04,-0.35,-0.44,0.39,0.04,-0.05,-0.02,0.25,0.21,-0.52,-0.67,-0.39,-0.16,-0.01,0.64,0.67,-1.11,0.37,0.64,0.76,-0.92,0.29,-0.06,-0.01,0.03,0.05,0.03,-0.05,0.19,-0.3,-0.05,-0.05,0.28,-0.01,-0.07,0.15,-0.13,-0.09,R.11.02.03.04.01
-0.3,-0.217308,-0.197709,0.03,0.3,0.75,0.33,-0.14,0.06,-0.16,0.1,-0.1,-0.01,0.11,-0.25,-0.12,0.19,-0.43,-0.27,-0.34,-0.0072161,-0.03,-0.88,-0.24,-0.24,-0.51,-0.16,-0.3,-0.07,0.23,-0.44,0.15,0.01,0.25,-0.04,-0.47,0.22,-0.16,-0.0060301,0.06,0.49,0.52,0.33,0.26,0.45,0.56,-0.03,-0.44,-0.24,-0.21,-0.18,-0.27,-0.36,0.19,0.11,-0.11,-0.33,0.04,0.11,0.65,0.25,0.37,0.45,-0.93,0.21,0.03,-0.38,-0.05,0.14,0.31,0.2,-0.06,0.13,0.51,0.17,-0.44,0.17,R.20.01.23
0.25,-0.04,-0.2,-0.12,-0.22,-0.55,0.09,0.15,0.59,0.43,0.25,0.12,-0.17,-0.4,0.13,-0.31,-0.24,0.02,0.39,0.17,0.23,-0.69,-0.15,-0.17,-0.05,0,0.04,-0.22,0.09,-0.3,0.1,-0.07,0.1,0.49,0.32,0.1,0.37,-0.19,0.06,-0.15,-0.4,-0.91,0.56,0,0.15,0.22,1.02,-0.1,0.15,0.08,0.17,0.31,0.3,-0.23,0.38,-0.69,-1.38,0.24,0.15,-0.3,-0.1,0.169286,0.132857,0.11,-0.31,-0.35,-0.08,0.15,-0.07,0.36,0.21,0.21,0.03,-0.15,0.06,-0.12,-0.07,R.01.02
0.46,-0.49,-0.25,-0.27,0.08,-0.03,0.38,0.1,0.12,0.04,0.18,0.12,0.03,-0.03,-0.09,-0.06,-0.19,-0.38,-0.33,-0.06,0.15,-0.02,-0.11,-0.1,-0.01,0.05,0.04,0.03,0.3,0.09,-0.05,-0.08,-0.31,0.14,-0.39,-0.01,0.22,-0.21,0.1,0.16,-0.14,-0.31,0.41,-0.05,0.09,0.15,0.87,0.08,0.29,0.23,0.03,0.15,0.23,-0.25,-0.06,-0.47,0.03,-0.29,-0.06,-0.34,-0.00545455,-0.05,-0.39,0.1,0.31,-0.17,0.51,0.3,-0.06,0.24,0.3,-0.12,-0.3,-0.16,-0.16,-0.54,-0.26,R.32.01.01
-0.12,0.62,-0.69,-0.32,0.11,0.11,-0.08,-0.78,-0.16,0.25,1.34,0.25,0.3,-0.06,-0.1,-0.26,-0.16,-0.83,0.07,-0.16,0.41,-0.24,-0.61,-0.52,0.18,1.31,-0.38,-0.06,-0.87,0.09,-0.44,0.3,0.25,0.35,0.04,0.36,-0.1,-0.67,0.243333,-0.19,0.47,0.29,0.48,0.04,-0.17,-0.17,-0.6,-0.46,-0.04,1.14,1.58,0.77,-0.21,-0.58,-0.23,-0.21,-0.71,-0.27,0.08,-0.6,-0.32,0.23,0.43,-0.87,0.52,0.01,-0.01,-0.09,-0.04,-0.04,0.04,0.26,0.63,-0.09,0.21,-0.34,-0.18,R.20.01.07
0.52,0,-0.49,-0.43,-0.19,0.19,0.05,0.38,0,0.19,0.06,0.15,0,-0.06,-0.06,-0.05,0.09,-0.21,-0.11,-0.03,-0.32,-0.06,0.28,0.34,0.38,-0.15,-0.12,-0.18,-0.05,-0.05,-0.17,0.02,-0.22,-0.04,-0.09,0.26,-0.13,-0.24,-0.05,-0.29,-0.17,0.53,0.11,0.07,-0.1,0.07,0.08,-0.1,0.07,0.12,0.06,-0.18,0.14,-0.24,0.1,-0.27,0.02,0.12,0.08,0.00829787,0.05,-0.02,-0.03,-0.25,0.78,0.25,0.42,-0.02,-0.15,-0.03,-0.03,-0.29,-0.24,0.01,-0.06,-0.32,-0.09,R.11.02.03.04
-0.09,-0.34,-0.07,-0.12,0.28,-0.96,-0.6,-0.26,0.33,-0.35,0.29,0.43,0.28,0.08,0.23,-0.15,0.04,0,0.03,0.06,0.38,-0.13,1.12,0.99,0.62,0.23,-0.04,0.42,0.07,0.36,-0.52,0.42,-0.63,-0.15,-0.73,-0.03,-0.35,0.35,-0.28,0.18,-0.8,-0.33,-0.67,0.06,-0.27,-0.04,-0.79,0.07,0.23,0.22,0.46,0.01,0.13,-0.01,0.09,0.18,-0.11,-0.12,-0.08,0.05,-0.2,0.06,-0.14,-0.78,-0.29,-0.1,0.7,1.15,0.43,0.45,0.15,-0.15,0.15,0,-0.52,-0.66,-0.54,R.12.01
0.14,-0.94,-0.54,0.14,0.33,-0.2425,0.23,-0.03,0.27,-0.1,0.23,0,0.05,-0.07,-0.39,0.03,0.25,-0.12,-0.03,-0.3,-0.21,-0.14,0.17,0.26,-0.05,-0.09,-0.42,-0.07,0,0.13,-0.28,-0.02,0.06,0.2,-0.63,0.09,0.12,0.19,-0.394286,0.07,-0.56,0.17,0.09,-0.02,0.47,0.22,0.62,0.85,-0.11,0.05,0.43,-0.23,-0.13,-0.28,-0.03,0.21,-0.38,0.08,-0.23,-0.49,-0.35,-0.19,-0.04,0.35,-0.2,-0.24,-0.05,0.47,0.34,0.19,-0.01,-0.07,-0.07,-0.03,-0.41,-0.13,-0.15,R.42.10.03
0.01,-0.09,-0.01,-0.12,0.17,-0.44,-0.39,-0.18,0.17,-0.05,0.41,0.03,0.11,0.06,-0.03,0.04,0.36,-0.22,0.28,-0.14,-0.0966667,-0.2,0.89,0.64,0.6,0.23,-0.07,0.3,0.128571,0.25,-0.24,0.35,-0.38,0.24,-0.42,0.03,-0.18,0.15,-0.28,0.14,-0.61,-0.34,-0.64,-0.16,-0.32,-0.2,-0.04,0.13,0.6,0.11,0.02,-0.34,-0.05,-0.11,-0.14,0.34,-0.23,-0.11,-0.13,0.04,-0.102,0.1,-0.19,-0.44,0.17,-0.12,-0.19,0.23,0.23,-0.26,0.13,0.09,0.33,0.09,-0.08,-0.15,-0.02,R.01.03.01
0.41,-0.07,-0.45,-0.38,0.01,-0.02,0.11,-0.02,-0.04,-0.27,0.09,-0.09,-0.11,0.16,-0.08,-0.02,0.08,-0.17,0.14,-0.11,0.4,-0.04,0.1,-0.03,0.09,0.01,0.02,0.16,-0.11,0.22,-0.03,0.11,-0.24,0.08,-0.11,-0.04,0.32,0.04,0.02,-0.07,0.23,-0.23,0.11,-0.23,-0.25,-0.16,0.38,-0.51,-0.36,0.13,-0.12,0.03,0,-0.08,-0.1,-0.09,0.32,0.12,0.19,0.09,0.00718062,-0.03,0.02,0.12,0.12,-0.21,-0.37,-0.16,-0.01,-0.09,0.14,0.22,0.09,-0.01,0.14,0.13,-0.11,R.01.04
-0.1,0.14,-0.34,0.1,0,0.12,-0.27,-0.02,-0.19,0.26,0.1,0,0.2,0.36,-0.4,0.09,-0.13,-0.45,-0.19,0.12,0.1,0.3,-0.18,-0.2,-0.04,0.26,-0.3,0.11,-0.15,0.09,-0.44,-0.11,-0.35,-0.11,-0.09,0.2,0.49,0.21,-0.28,-0.61,0.11,0.73,0.21,0.16,-0.05,0.33,-0.04,-0.01,-0.05,0.1,0.08,0.36,0.12,0.42,-0.32,0.36,0.17,-0.21,-0.46,0.0973684,0.13,-0.27,-0.39,0.2,0.16,-0.41,0.04,0.14,-0.03,-0.05,0.11,-0.05,0.08,0.06,-0.13,-0.12,0,R.20.09.07.03
-0.54,0.4,0.07,-0.47,-0.1,-0.31,-0.31,0.02,-0.09,0.04,0.36,0.18,0.45,0.04,0.16,0.02,0.02,-0.29,0.11,0.01,-0.25,-0.09,-0.85,-1.06,-0.73,0.01,0.31,0.45,0.12,0.51,0.49,0.31,0.03,0.31,0.05,0.1,-0.24,0.27,-0.08,0.48,-0.02,-0.51,-0.95,0.33,0.18,0.49,-0.33,-0.33,-0.43,-0.39,-0.3,-0.65,-0.6,0.05,-0.09,1.04,-0.03,0.17,0.0223333,0.4,0.27,0.77,0.44,-0.72,-0.08,0.03,-0.04,-0.19,-0.3,-0.05,-0.09,0.18,0.16,-0.01,0.45,0.35,0.32,R.01.02
-0.18,-0.15,0.34,-0.12,0.25,-0.18,-0.39,-0.01,-0.42,-0.05,-0.12,-0.01,0.24,-0.08,0.12,-0.12,0.01,-0.12,0.38,0.29,0.11,0.12,-0.53,-0.12,0.22,0.22,-0.59,0.38,0.114681,0.3,-0.0545989,0.09,-0.0326203,0.14,-0.151526,0.11,-0.145815,-0.23,-0.256995,0.02,-0.163476,0.131164,-0.0840107,0.03,-0.11,0.08,0.17,-0.43,0.68,0.05,0.45,-0.25,-0.02,0.14,-0.29,0.214172,-2.94,0.34,-0.15,0.72,0.36,0.68,0.49,-0.75,-0.24,0.27,0.46,0.33,0.34,0.46,0.22,0.04,-0.15,-0.12,-0.14,-0.39,-0.34,R.12.01.01
0.97,-0.22,-0.69,-0.17,-0.08,-0.0397802,0.11,0.03,0.21,-0.25,0.03,-0.1,-0.16,-0.03,0.27,0.3,0.17,-0.02,-0.14,0.05,-0.07,-0.33,0.59,0.73,0.48,-0.03,-1.01,-0.2,-0.39,0.04,-0.66,0.47,0.09,-0.06,-0.28,0.38,0.03,-0.03,-0.01,0.03,0.102192,-0.32,0.36,-0.12,0.04,-0.16,0.23,0.11,1.08,0.36,-0.07,-0.33,-0.39,-0.19,-0.57,0.52,0.83,0.28,-0.32,0.0572674,-0.25,-0.7,-0.6,-0.6,-0.33,-0.12,0.21,0.05,0.3,0.12,0.49,0.15,0.2,-0.17,-0.14,-0.22,0.06,R.01.04
-0.42,-0.71,0.06,0.38,-0.1,-0.2,0.15,-0.43,-0.29,-0.1,0.49,0.2,0.47,0.23,-0.16,-0.21,-0.3,-0.11,0.17,-0.22,0.33,0.08,0,-0.08,-0.29,-0.01,-0.66,0.34,0.77,0.48,-0.15,0.06,-0.29,-0.29,-0.66,-0.07,0.16,0.1,0.17,0.13,0.37,-0.01,0.48,-0.15,-0.21,-0.15,-0.18,-0.5,-0.7,-0.57,-0.42,-0.28,0.1,0.3,0.25,0.55,0.42,-0.09,0.13,0.35,0.186818,0.44,0.21,-0.04,-0.14,-0.11,0.14,-0.16,-0.07,0.02,0.01,-0.01,-0.06,0.29,-0.02,-0.01,0.16,R.34.01.01.01
0.59,-0.18,-0.62,-1.18,0.19,-0.08,0.09,0.02,0.25,-0.36,0.18,-0.25,0.12,-0.14,-0.1,-0.08,0.26,-0.12,0.24,-0.05,0.25,-0.42,0.62,0.4,0.09,-0.22,0.35,-0.05,0.1,-0.16,0.18,-0.14,-0.2,-0.17,0.02,-0.27,0.12,-0.27,0.21,-0.25,0.18,-0.27,0.35,-0.25,-0.08,-0.27,0.2,-0.28,-0.11,0.18,-0.02,-0.12,-0.22,-0.34,-0.25,0.58,0.35,-0.16,-0.13,0,0.164706,0.31,0.03,-0.18,0.27,-0.39,-0.41,-0.22,-0.1,-0.08,-0.06,0.3,0.09,0.09,0.29,0.43,-0.03,R.99
-0.38,-0.01,-0.01,-0.04,-0.15,0.04,-0.15,-0.08,-0.14,0.12,-0.06,0.35,0.01,0.19,-0.15,-0.08,-0.02,-0.12,-0.03,-0.02,0.09,0.19,-0.62,-0.43,-0.32,0.12,0.65,0.13,0.51,0.07,0.4,-0.08,0.41,-0.08,0.11,-0.23,0.71,-0.43,0.31,-0.13,0.2,0.32,0.72,-0.73,-0.82,-0.8,-0.3,0.06,0.59,0.35,0.66,0.02,0.2,-0.3,-0.01,1.02,-2.83,0.36,-0.09,-0.03,-0.49,0.44,0.33,-1.39,0.24,-0.27,0.36,0.58,0.32,0.25,0.31,-0.06,0.26,0.04,-0.16,-0.28,-0.19,R.12.01.01
0.43,-0.86,-0.241054,-0.36,-0.3,-0.14,-0.27,0.02,-0.21,-0.2,0.13,-0.03,0.26,0.15,0.29,0.04,0.07,-0.3,0.13,0.25,0.05,0.07,-0.14,0.27,-0.06,0.15,-0.01,-0.16,-0.16,-0.14,0.11,0.03,1.1,-0.01,0.36,0.11,-0.29,-0.57,-0.06,-0.29,0.4,0.11,0.22,-0.04,-0.6,-0.33,0.24,0.02,-0.18,-0.38,-0.23,-0.58,0.02,-0.53,0.63,0.19,0.03,0.27,0.41,-0.88,-0.11,0.58,0.52,-0.26,-0.12,0.01,0.04,-0.18,0.01,0.05,0.03,0.18,-0.13,-0.02,0.28,0.15,-0.06,R.11.02.03.04
0.9,1.51,0.04,-0.06,-0.96,-1.35,-0.87,-0.56,0.39,0.29,1.1,0.22,0.51,0.11,0.06,-0.13,0.24,-0.08,0.52,0.15,0.53,-0.16,-0.91,-1.01,-0.48,0.73,0.77,0.93,0.77,0.68,0.01,0.32,-0.34,0.11,-0.03,0.02,0.3,0.13,0.18,0.26,0.45,-1.06,0.2,-0.6,-0.81,-0.62,-0.43,-0.78,0.09,-0.13,0.05,-0.38,-0.22,-0.02,-0.35,0.97,0.18,0.069,-0.2,0.35,0.18,0.48,0.22,-1.16,0.6,0.03,0.05,0.4,0.13,0.03,0,-0.16,0.37,0.17,-0.33,-0.4,0.29,R.01.06.06.11
